t,v
0.000000,0.000000
0.000061,0.000044
0.000123,0.000026
0.000186,0.000044
0.000249,0.000000
0.000311,0.000009
0.000373,0.000026
0.000436,0.000009
0.000501,0.000062
0.000563,0.000018
0.000625,0.000035
0.000688,0.000044
0.000749,0.000018
0.000812,0.000088
0.000874,0.000009
0.000935,0.000035
0.000998,0.000044
0.001062,0.000018
0.001124,0.000079
0.001186,0.000026
0.001248,0.000018
0.001310,0.000044
0.001374,0.000053
0.001436,0.000106
0.001498,0.000009
0.001561,0.000035
0.001622,0.000062
0.001686,0.000018
0.001748,0.000079
0.001810,0.000044
0.001873,0.000062
0.001935,0.000079
0.001999,0.000106
0.002061,0.000237
0.002125,0.000334
0.002187,0.000493
0.002249,0.000721
0.002313,0.000932
0.002376,0.001249
0.002438,0.001539
0.002499,0.001900
0.002561,0.002305
0.002624,0.002753
0.002687,0.003184
0.002749,0.003659
0.002811,0.004090
0.002874,0.004477
0.002937,0.004856
0.002999,0.005234
0.003061,0.005471
0.003123,0.005709
0.003187,0.005823
0.003250,0.005788
0.003312,0.005823
0.003373,0.005594
0.003435,0.005304
0.003500,0.005067
0.003562,0.004706
0.003624,0.004240
0.003687,0.003782
0.003748,0.003255
0.003812,0.002621
0.003873,0.002094
0.003935,0.001399
0.003998,0.000721
0.004060,0.000255
0.004124,-0.000317
0.004186,-0.001003
0.004250,-0.001539
0.004312,-0.002067
0.004374,-0.002586
0.004438,-0.003123
0.004500,-0.003404
0.004563,-0.003879
0.004625,-0.004125
0.004687,-0.004363
0.004748,-0.004671
0.004811,-0.004600
0.004873,-0.004803
0.004935,-0.004803
0.004999,-0.004609
0.005061,-0.004627
0.005124,-0.004319
0.005186,-0.004020
0.005248,-0.003791
0.005312,-0.003387
0.005375,-0.003035
0.005436,-0.002569
0.005498,-0.002032
0.005560,-0.001566
0.005624,-0.001073
0.005687,-0.000642
0.005749,-0.000167
0.005811,0.000308
0.005873,0.000686
0.005938,0.001029
0.006000,0.001293
0.006062,0.001522
0.006125,0.001786
0.006186,0.001882
0.006250,0.002050
0.006313,0.001979
0.006374,0.001900
0.006437,0.001909
0.006499,0.001882
0.006562,0.001566
0.006625,0.001346
0.006689,0.001020
0.006752,0.000853
0.006816,0.000528
0.006879,0.000281
0.006942,-0.000070
0.007006,-0.000352
0.007069,-0.000598
0.007133,-0.001056
0.007196,-0.001100
0.007260,-0.001513
0.007323,-0.001733
0.007386,-0.001786
0.007450,-0.002102
0.007512,-0.002032
0.007575,-0.002252
0.007637,-0.002322
0.007699,-0.002181
0.007763,-0.002384
0.007826,-0.002208
0.007887,-0.002155
0.007948,-0.002085
0.008010,-0.001926
0.008074,-0.001821
0.008137,-0.001601
0.008199,-0.001416
0.008261,-0.001249
0.008323,-0.001056
0.008387,-0.000827
0.008449,-0.000572
0.008511,-0.000369
0.008574,-0.000176
0.008637,0.000053
0.008700,0.000194
0.008761,0.000422
0.008823,0.000607
0.008885,0.000686
0.008950,0.000818
0.009012,0.000888
0.009074,0.000950
0.009138,0.001003
0.009199,0.001012
0.009264,0.000968
0.009326,0.000897
0.009388,0.000844
0.009451,0.000704
0.009512,0.000589
0.009576,0.000519
0.009637,0.000290
0.009700,0.000185
0.009762,0.000035
0.009824,-0.000176
0.009888,-0.000237
0.009950,-0.000501
0.010014,-0.000660
0.010076,-0.000783
0.010138,-0.000985
0.010202,-0.001038
0.010265,-0.001223
0.010327,-0.001372
0.010388,-0.001399
0.010450,-0.001539
0.010513,-0.001548
0.010576,-0.001636
0.010638,-0.001671
0.010700,-0.001645
0.010764,-0.001654
0.010827,-0.001575
0.010889,-0.001575
0.010951,-0.001487
0.011013,-0.001390
0.011077,-0.001319
0.011140,-0.001135
0.011202,-0.001056
0.011264,-0.000906
0.011326,-0.000765
0.011391,-0.000642
0.011453,-0.000422
0.011515,-0.000273
0.011579,-0.000176
0.011640,-0.000044
0.011704,0.000088
0.011766,0.000281
0.011828,0.000369
0.011891,0.000449
0.011952,0.000554
0.012016,0.000625
0.012078,0.000748
0.012141,0.000800
0.012203,0.000827
0.012266,0.000827
0.012328,0.000818
0.012391,0.000888
0.012452,0.000818
0.012514,0.000774
0.012577,0.000730
0.012639,0.000616
0.012702,0.000589
0.012764,0.000510
0.012826,0.000387
0.012889,0.000299
0.012953,0.000167
0.013015,0.000114
0.013077,0.000009
0.013139,-0.000106
0.013203,-0.000176
0.013266,-0.000325
0.013327,-0.000405
0.013389,-0.000440
0.013451,-0.000519
0.013516,-0.000537
0.013578,-0.000633
0.013640,-0.000642
0.013704,-0.000642
0.013765,-0.000660
0.013830,-0.000633
0.013892,-0.000686
0.013954,-0.000633
0.014017,-0.000598
0.014079,-0.000581
0.014140,-0.000484
0.014201,-0.000475
